No,County,Confirmed,Date
1.,Alba,431,2020-06-25
2.,Arad,706,2020-06-25
3.,Argeș,642,2020-06-25
4.,Bacău,605,2020-06-25
5.,Bihor,667,2020-06-25
6.,Bistrița-Năsăud,492,2020-06-25
7.,Botoșani,989,2020-06-25
8.,Brașov,1319,2020-06-25
9.,Brăila,154,2020-06-25
10.,Buzău,467,2020-06-25
11.,Caraș-Severin,112,2020-06-25
12.,Călărași,160,2020-06-25
13.,Cluj,663,2020-06-25
14.,Constanța,404,2020-06-25
15.,Covasna,271,2020-06-25
16.,Dâmbovița,470,2020-06-25
17.,Dolj,276,2020-06-25
18.,Galați,810,2020-06-25
19.,Giurgiu,264,2020-06-25
20.,Gorj,209,2020-06-25
21.,Harghita,290,2020-06-25
22.,Hunedoara,650,2020-06-25
23.,Ialomița,418,2020-06-25
24.,Iași,939,2020-06-25
25.,Ilfov,700,2020-06-25
26.,Maramureș,151,2020-06-25
27.,Mehedinți,180,2020-06-25
28.,Mureș,725,2020-06-25
29.,Neamț,955,2020-06-25
30.,Olt,179,2020-06-25
31.,Prahova,277,2020-06-25
32.,Satu Mare,76,2020-06-25
33.,Sălaj,113,2020-06-25
34.,Sibiu,627,2020-06-25
35.,Suceava,3972,2020-06-25
36.,Teleorman,155,2020-06-25
37.,Timiș,516,2020-06-25
38.,Tulcea,176,2020-06-25
39.,Vaslui,172,2020-06-25
40.,Vâlcea,48,2020-06-25
41.,Vrancea,968,2020-06-25
42.,Mun. București,2855,2020-06-25
43.,Not identified,33,2020-06-25
